Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2003-06-29,-12.5194759
2003-06-30,-12.4781551
2003-07-01,-12.4912472
2003-07-02,-12.4676571
2003-07-03,-12.476202
2003-07-04,-12.4859066
2003-07-05,-12.6040096
2003-07-06,-12.6014767
2003-07-07,-12.6182919
2003-07-08,-12.4965267
2003-07-09,-12.3539486
2003-07-10,-12.3034725
2003-07-11,-12.2533016
2003-07-12,-12.2284908
2003-07-13,-12.1087399
2003-07-14,-11.988348
2003-07-15,-11.9512691
2003-07-16,-11.9624691
2003-07-17,-11.9326534
2003-07-18,-11.9577389
2003-07-19,-11.988287
2003-07-20,-11.8938046
2003-07-21,-11.9021969
2003-07-22,-11.896368
2003-07-23,-11.8825436
2003-07-24,-11.8863277
2003-07-25,-11.8706417
2003-07-26,-11.8349972
2003-07-27,-11.8024349
2003-07-28,-11.7403927
2003-07-29,-11.7900753
2003-07-30,-11.8478146
2003-07-31,-11.9089108
2003-08-01,-12.0271053
2003-08-02,-11.8570309
2003-08-03,-11.7301998
2003-08-04,-11.8784542
2003-08-05,-12.0067806
2003-08-06,-12.0762081
2003-08-07,-12.101965
2003-08-08,-12.0983028
2003-08-09,-12.0433407
2003-08-10,-12.0759335
2003-08-11,-12.2385616
2003-08-12,-12.2066097
2003-08-13,-12.1031246
2003-08-14,-12.1624813
2003-08-15,-12.244482
2003-08-16,-12.3269405
2003-08-17,-12.3780575
2003-08-18,-12.4255123
2003-08-19,-12.4090939
2003-08-20,-12.3152218
2003-08-21,-12.3157711
2003-08-22,-12.3990536
2003-08-23,-12.4360714
2003-08-24,-12.4288998
2003-08-25,-12.3778744
2003-08-26,-12.4087582
2003-08-27,-12.4879513
2003-08-28,-12.5272579
2003-08-29,-12.4924679
2003-08-30,-12.5225887
2003-08-31,-12.6688595
2003-09-01,-12.7332516
2003-09-02,-12.783392
2003-09-03,-12.8701839
2003-09-04,-12.9320431
2003-09-05,-12.8360653
2003-09-06,-12.8162899
2003-09-07,-12.9175472
2003-09-08,-12.856329
2003-09-09,-12.9401913
2003-09-10,-12.8829403
2003-09-11,-12.9099483
2003-09-12,-12.8761654
2003-09-13,-12.975256
2003-09-14,-13.0792294
2003-09-15,-13.1807613
2003-09-16,-13.2894955
2003-09-17,-13.3404598
2003-09-18,-13.4864559
2003-09-19,-13.396368
2003-09-20,-13.3591061
2003-09-21,-13.2299862
2003-09-22,-13.21134
2003-09-23,-13.1731625
2003-09-24,-13.2456112
2003-09-25,-13.3005123
2003-09-26,-13.3318844
2003-09-27,-13.3560848
2003-09-28,-13.2512264
2003-09-29,-13.2989559
2003-09-30,-13.3152523
2003-10-01,-13.3133602
2003-10-02,-13.4308834
2003-10-03,-13.4930477
2003-10-04,-13.7016659
2003-10-05,-13.7583065
2003-10-06,-13.7846127
2003-10-07,-13.9583492
2003-10-08,-13.7463436
2003-10-09,-13.7207699
2003-10-10,-13.6352291
2003-10-11,-13.6580868
2003-10-12,-13.7155209
2003-10-13,-13.9151363
2003-10-14,-13.781683
2003-10-15,-13.7811031
2003-10-16,-13.8474178
2003-10-17,-13.9177608
2003-10-18,-14.1317806
2003-10-19,-14.0789242
2003-10-20,-14.0334835
2003-10-21,-14.0483456
2003-10-22,-14.0522518
2003-10-23,-14.0566769
2003-10-24,-14.0745602
2003-10-25,-13.9817867
2003-10-26,-13.9832821
2003-10-27,-14.112463
2003-10-28,-14.1225948
2003-10-29,-29.3990536
2003-11-19,-14.0874386
2003-11-20,-14.5676327
2003-11-21,-14.5835018
2003-11-22,-14.4297237
2003-11-23,-14.4413815
2003-11-24,-14.6148434
2003-11-25,-14.8919735
2003-11-26,-14.9558773
2003-11-27,-14.9404049
2003-11-28,-15.0878353
2003-11-29,-15.0899105
2003-11-30,-14.9616451
2003-12-01,-14.8573971
2003-12-02,-14.9088192
2003-12-03,-14.9759274
2003-12-04,-14.9304867
2003-12-05,-14.9928036
2003-12-06,-15.0885372
2003-12-07,-15.0470943
2003-12-08,-14.9794369
2003-12-09,-15.0126705
2003-12-10,-15.0209408
2003-12-11,-15.0705929
2003-12-12,-15.2256527
2003-12-13,-15.1114254
2003-12-14,-15.1356258
2003-12-15,-15.0033627
2003-12-16,-14.8427792
2003-12-17,-14.825079
2003-12-18,-14.7242489
2003-12-19,-14.5923824
2003-12-20,-14.524786
2003-12-21,-14.6257687
2003-12-22,-14.5765133
2003-12-23,-14.7241268
2003-12-24,-14.908392
2003-12-25,-14.9366207
2003-12-26,-15.0477352
2003-12-27,-14.9678402
2003-12-28,-14.8547115
2003-12-29,-14.763525
2003-12-30,-14.8956966
2003-12-31,-14.8907833
2004-01-01,-14.9767513
2004-01-02,-15.0716305
2004-01-03,-15.194006
2004-01-04,-15.3407345
2004-01-05,-15.4240475
2004-01-06,-15.4922237
2004-01-07,-15.3754025
2004-01-08,-15.3386288
2004-01-09,-15.3323116
2004-01-10,-15.3420467
2004-01-11,-15.3342953
2004-01-12,-15.3545589
2004-01-13,-15.3534298
2004-01-14,-15.1430111
2004-01-15,-15.1866817
2004-01-16,-15.2242794
2004-01-17,-15.0459652
2004-01-18,-15.0170956
2004-01-19,-15.1238766
2004-01-20,-15.194891
2004-01-21,-15.5292721
2004-01-22,-15.3370113
2004-01-23,-15.3598995
2004-01-24,-15.4224606
2004-01-25,-15.3817806
2004-01-26,-15.3647823
2004-01-27,-15.5115719
2004-01-28,-15.5028133
2004-01-29,-15.6345577
2004-01-30,-15.6643429
2004-01-31,-15.5304012
2004-02-01,-15.6190548
2004-02-02,-15.4487362
2004-02-03,-15.4621639
2004-02-04,-15.2947445
2004-02-05,-15.2190304
2004-02-06,-15.1369381
2004-02-07,-15.1316891
2004-02-08,-15.0345821
2004-02-09,-14.9776974
2004-02-10,-15.035284
2004-02-11,-15.0114803
2004-02-12,-15.1686459
2004-02-13,-15.2117672
2004-02-14,-15.2002926
2004-02-15,-14.9031734
2004-02-16,-14.7841549
2004-02-17,-14.784338
2004-02-18,-14.8619137
2004-02-19,-14.8287411
2004-02-20,-14.8457088
2004-02-21,-15.0102901
2004-02-22,-15.1829891
2004-02-23,-15.2187252
2004-02-24,-15.1888485
