Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-01T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2005-07-03,261.167297
2005-07-04,261.287933
2005-07-05,261.23526
2005-07-06,261.212128
2005-07-07,261.208252
2005-07-08,261.213623
2005-07-09,261.118652
2005-07-10,261.09726
2005-07-11,261.222504
2005-07-12,261.2052
2005-07-13,261.148621
2005-07-14,261.136597
2005-07-15,261.202789
2005-07-16,261.312622
2005-07-17,261.292725
2005-07-18,261.371002
2005-07-19,261.393921
2005-07-20,261.499756
2005-07-21,261.600098
2005-07-22,261.588043
2005-07-23,261.63028
2005-07-24,261.667419
2005-07-25,261.613861
2005-07-26,261.487946
2005-07-27,261.288086
2005-07-28,261.184052
2005-07-29,261.184937
2005-07-30,261.150238
2005-07-31,261.153168
2005-08-01,261.196777
2005-08-02,261.207062
2005-08-03,260.96814
2005-08-04,261.447205
2005-08-05,261.55426
2005-08-06,261.496918
2005-08-07,261.373047
2005-08-08,261.264313
2005-08-09,261.238922
