Title:,"Time Series, Area-Averaged of Volumetric Soil Moisture from 6.9 GHZ daily 25 (daily)"
User Start Date:,2012-07-03T00:00:00Z
User End Date:,2023-12-22T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,"-179.875,-89.875,179.875,89.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-07-03T00:00:00Z&endtime=2023-12-22T23:59:59Z&data=LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1&portal=GIOVANNI&format=json"
Fill Value (mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1):, -32767

time, mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1
2013-05-20,59.3827932
2013-05-21,57.5275568
2013-05-22,58.2383634
2013-05-23,57.6897425
2013-05-24,58.0366357
2013-05-25,57.9420994
2013-05-26,57.9170325
2013-05-27,58.3464444
2013-05-28,58.9016858
2013-05-29,59.1390284
2013-05-30,58.8395901
2013-05-31,59.4574573
2013-06-01,59.0307902
2013-06-02,58.6850534
2013-06-03,58.8174945
2013-06-04,58.8409241
2013-06-05,60.6036005
2013-06-06,58.8249277
2013-06-07,59.5102743
2013-06-08,58.9994871
2013-06-09,59.6372123
2013-06-10,59.6993081
2013-06-11,59.4095285
2013-06-12,60.3756821
2013-06-13,59.7754077
2013-06-14,60.4284157
2013-06-15,60.0532552
2013-06-16,60.6931286
2013-06-17,60.0314467
2013-06-18,59.9841647
2013-06-19,60.136167
2013-06-20,60.3803451
2013-06-21,61.8015071
2013-06-22,60.2179087
2013-06-23,60.9069547
2013-06-24,58.7647696
2013-06-25,60.8930216
2013-06-26,60.6085652
2013-06-27,60.6535474
2013-06-28,61.2527047
2013-06-29,61.0678116
2013-06-30,60.9443229
2013-07-01,60.2562987
2013-07-02,61.3263645
2013-07-03,60.8793443
2013-07-04,60.8483016
2013-07-05,60.7877238
2013-07-06,60.0909165
2013-07-07,60.8867523
2013-07-08,60.0874627
2013-07-09,61.2885628
2013-07-10,60.2553968
2013-07-11,60.8181815
2013-07-12,60.8622503
2013-07-13,60.7843978
2013-07-14,61.2747828
2013-07-15,60.9137702
2013-07-16,61.5319696
2013-07-17,60.7950944
2013-07-18,61.4966647
2013-07-19,60.7160438
2013-07-20,60.6429149
2013-07-21,60.9030432
2013-07-22,60.6306717
2013-07-23,61.1340017
2013-07-24,60.7404733
2013-07-25,61.5448863
2013-07-26,61.1547842
2013-07-27,61.5777922
2013-07-28,61.4749645
2013-07-29,61.0536449
2013-07-30,61.3696441
2013-07-31,60.9479623
2013-08-01,61.8008398
2013-08-02,60.6416415
2013-08-03,61.3755602
2013-08-04,60.7413626
2013-08-05,61.083775
2013-08-06,61.3457513
2013-08-07,60.9473367
2013-08-08,61.7921587
2013-08-09,60.6275663
2013-08-10,61.5147703
2013-08-11,40.6779687
2013-08-12,61.2632517
2013-08-13,61.1413649
2013-08-14,60.7158964
2013-08-15,41.3460449
2013-08-16,60.8660218
2013-08-17,62.0192171
2013-08-18,61.2879965
2013-08-19,61.9611728
2013-08-20,61.2993037
2013-08-21,61.3211059
2013-08-22,61.0597061
2013-08-23,60.5204028
2013-08-24,61.7639293
2013-08-25,60.9433346
2013-08-26,61.8727369
2013-08-27,61.1631309
2013-08-28,61.49431
2013-08-29,61.2036424
2013-08-30,60.6663202
2013-08-31,61.2640976
2013-09-01,60.5413963
2013-09-02,60.8517906
2013-09-03,60.4702063
2013-09-04,61.1994566
2013-09-05,60.582699
2013-09-06,60.8205853
2013-09-07,60.978372
2013-09-08,60.4517637
2013-09-09,61.733876
2013-09-10,60.4597782
2013-09-11,60.9944972
2013-09-12,60.1103554
2013-09-13,60.7868898
2013-09-14,60.2755567
2013-09-15,59.8174147
2013-09-16,60.4667513
2013-09-17,59.4174097
2013-09-18,60.8571206
2013-09-19,60.2989878
2013-09-20,60.6156419
2013-09-21,60.1011519
2013-09-22,59.6835717
2013-09-23,59.5551727
2013-09-24,59.1480203
2013-09-25,60.3214798
2013-09-26,59.4660704
2013-09-27,59.8168609
2013-09-28,58.7056559
2013-09-29,59.2078147
2013-09-30,58.1070649
2013-10-01,39.4533525
2013-10-02,58.2669446
2013-10-03,57.6589031
2013-10-04,58.8654328
2013-10-05,57.7950927
2013-10-06,59.1100451
2013-10-07,58.3574311
2013-10-08,57.9457271
2013-10-09,57.5454779
2013-10-10,56.9694758
2013-10-11,57.7284835
2013-10-12,56.8112207
2013-10-13,57.0834614
2013-10-14,56.3186728
2013-10-15,57.3586334
2013-10-16,57.5693955
2013-10-17,57.074746
2013-10-18,57.1824699
2013-10-19,56.420822
2013-10-20,57.5546525
2013-10-21,56.1227058
2013-10-22,56.935656
2013-10-23,56.1320865
2013-10-24,56.2813044
2013-10-25,56.8918156
2013-10-26,56.2734187
2013-10-27,56.7114618
2013-10-28,56.0588392
2013-10-29,57.3103735
2013-10-30,55.9163492
2013-10-31,57.1086403
2013-11-01,56.8949026
2013-11-02,56.1859259
2013-11-03,56.1745985
2013-11-04,55.9119784
2013-11-05,56.6895623
2013-11-06,55.0937099
2013-11-07,55.6627085
2013-11-08,53.7935702
2013-11-09,55.1072058
2013-11-10,54.4612593
2013-11-11,54.4969774
2013-11-12,55.0098383
2013-11-13,54.7258196
2013-11-14,55.5745472
2013-11-15,54.6065519
2013-11-16,54.745634
2013-11-17,53.8561047
2013-11-18,52.9607595
2013-11-19,53.2606366
2013-11-20,50.9124667
2013-11-21,53.724455
2013-11-22,52.3780275
2013-11-23,53.5154021
2013-11-24,52.042955
2013-11-25,52.3999891
2013-11-26,51.9827511
2013-11-27,52.1813835
2013-11-28,52.7730323
2013-11-29,51.8916578
2013-11-30,53.1444569
2013-12-01,52.1350491
2013-12-02,51.8521156
2013-12-03,50.7606611
2013-12-04,51.0161506
2013-12-05,50.9737523
2013-12-06,49.9961165
2013-12-07,50.5174734
2013-12-08,49.5172706
2013-12-09,50.1454897
2013-12-10,48.8851249
2013-12-11,49.5515267
2013-12-12,50.0674776
2013-12-13,50.485902
2013-12-14,52.5768007
2013-12-15,49.0976229
2013-12-16,50.8705672
2013-12-17,49.8209768
2013-12-18,51.2945273
2013-12-19,49.7550977
2013-12-20,50.5152976
2013-12-21,51.5293307
2013-12-22,53.0700877
2013-12-23,52.3810498
2013-12-24,50.7974505
2013-12-25,52.204822
2013-12-26,50.9602122
2013-12-27,51.9031359
2013-12-28,51.6093206
2013-12-29,51.7356733
2013-12-30,52.7210251
2013-12-31,51.1893661
2014-01-01,52.6493268
2014-01-02,50.8707301
2014-01-03,52.3286052
2014-01-04,51.8229157
2014-01-05,53.0082441
2014-01-06,52.6916056
2014-01-07,52.1458433
2014-01-08,52.6757368
2014-01-09,51.6175106
2014-01-10,52.7137513
2014-01-11,51.5601352
2014-01-12,52.435431
2014-01-13,51.9164853
2014-01-14,52.132785
2014-01-15,52.3932727
2014-01-16,51.9546383
2014-01-17,52.3432937
2014-01-18,51.095521
2014-01-19,51.9479851
2014-01-20,51.3591368
2014-01-21,51.7966765
2014-01-22,51.8952156
2014-01-23,52.6040947
2014-01-24,51.3330933
2014-01-25,50.2785432
2014-01-26,51.698274
2014-01-27,50.04234
2014-01-28,51.2280503
2014-01-29,50.9692557
2014-01-30,51.4947366
2014-01-31,52.2265449
2014-02-01,51.5069432
2014-02-02,52.260678
2014-02-03,51.2467685
2014-02-04,52.232375
2014-02-05,51.4412841
2014-02-06,51.7792275
2014-02-07,52.304901
2014-02-08,52.2984137
2014-02-09,52.3688584
2014-02-10,51.2913436
2014-02-11,52.2755447
2014-02-12,51.2321121
2014-02-13,51.8650677
2014-02-14,51.579559
2014-02-15,51.8158105
2014-02-16,53.4356203
2014-02-17,52.0223977
2014-02-18,52.392849
2014-02-19,50.7057093
2014-02-20,52.0231269
2014-02-21,51.1031372
2014-02-22,51.8068991
2014-02-23,52.3765495
2014-02-24,52.2057851
2014-02-25,53.0479298
2014-02-26,51.7523151
2014-02-27,52.3721586
2014-02-28,51.5543863
2014-03-01,51.7671064
2014-03-02,51.4903929
2014-03-03,51.5795648
2014-03-04,52.5646486
2014-03-05,51.6227346
2014-03-06,52.5715372
2014-03-07,51.2662788
2014-03-08,52.2476469
2014-03-09,51.9796934
2014-03-10,51.7282546
2014-03-11,52.2447882
2014-03-12,52.9082563
2014-03-13,51.8909747
2014-03-14,50.9060824
2014-03-15,51.867496
2014-03-16,51.486632
2014-03-17,51.5981813
2014-03-18,51.8733666
2014-03-19,51.8464772
2014-03-20,53.0606088
2014-03-21,51.8287426
2014-03-22,53.0920223
2014-03-23,52.4654003
2014-03-24,52.8364535
2014-03-25,52.3829897
2014-03-26,52.1548007
2014-03-27,52.606271
2014-03-28,53.8510971
2014-03-29,52.7119655
2014-03-30,52.1448275
2014-03-31,53.0115691
2014-04-01,52.3769152
2014-04-02,52.5220792
2014-04-03,53.1808088
2014-04-04,53.1090404
2014-04-05,53.7525788
2014-04-06,53.6332267
2014-04-07,54.7417747
2014-04-08,53.8887057
2014-04-09,54.241914
2014-04-10,53.9325616
2014-04-11,54.0365981
2014-04-12,54.4124134
2014-04-13,54.1460142
2014-04-14,53.9438523
2014-04-15,52.8147413
2014-04-16,54.1547979
2014-04-17,54.2219074
2014-04-18,54.8076445
2014-04-19,55.0415012
2014-04-20,55.2509114
2014-04-21,56.1108489
2014-04-22,54.9767096
2014-04-23,55.5198384
2014-04-24,54.9359911
2014-04-25,55.4780864
2014-04-26,55.4707689
2014-04-27,55.7822476
2014-04-28,55.9762525
2014-04-29,55.9967986
2014-04-30,36.5951648
2014-05-01,36.3326342
2014-05-02,55.9700763
2014-05-03,55.9178408
2014-05-04,56.3735199
2014-05-05,56.5933302
2014-05-06,56.3046781
2014-05-07,54.7380742
2014-05-08,56.5652534
2014-05-09,38.318078
2014-05-10,56.7188099
2014-05-11,56.7897882
2014-05-12,56.6474397
2014-05-13,56.8820748
2014-05-14,57.2232495
2014-05-15,56.750777
2014-05-16,57.8084908
2014-05-17,57.0875717
2014-05-18,57.4100788
2014-05-19,57.1882756
2014-05-20,57.7870723
2014-05-21,57.8977195
2014-05-22,57.7842796
2014-05-23,58.743957
2014-05-24,58.1368038
2014-05-25,58.7615912
2014-05-26,57.8261173
2014-05-27,58.151147
2014-05-28,58.0129456
2014-05-29,58.155323
2014-05-30,58.7253012
2014-05-31,58.6046625
2014-06-01,59.5804546
2014-06-02,58.9578024
2014-06-03,59.6295519
2014-06-04,59.372086
2014-06-05,59.6153624
2014-06-06,59.2955174
2014-06-07,58.7167037
2014-06-08,59.7713572
2014-06-09,59.2906086
2014-06-10,59.6939135
2014-06-11,59.2702719
2014-06-12,59.7460028
2014-06-13,59.1908746
2014-06-14,59.3024463
2014-06-15,59.888335
2014-06-16,59.6270727
2014-06-17,60.550806
2014-06-18,59.70327
2014-06-19,60.3753264
2014-06-20,60.0362504
2014-06-21,60.3704881
2014-06-22,60.398778
2014-06-23,59.9595548
2014-06-24,60.5612999
2014-06-25,59.9532955
2014-06-26,60.8463129
2014-06-27,60.5964645
2014-06-28,61.0229363
2014-06-29,60.720464
2014-06-30,60.6657598
2014-07-01,61.1611229
2014-07-02,60.8408565
2014-07-03,61.2367697
2014-07-04,60.3262895
2014-07-05,61.4258021
2014-07-06,60.8515178
2014-07-07,60.9145417
2014-07-08,61.0134582
2014-07-09,60.5026444
2014-07-10,61.4439709
2014-07-11,60.7039208
2014-07-12,61.5954876
2014-07-13,60.9091946
2014-07-14,61.2062829
2014-07-15,60.7363056
2014-07-16,60.6854661
2014-07-17,60.8563449
2014-07-18,60.674396
2014-07-19,61.6604323
2014-07-20,61.0246557
2014-07-21,61.6557565
2014-07-22,40.3952307
2014-07-23,61.1505711
2014-07-24,61.2060493
2014-07-25,61.0831167
2014-07-26,61.6624221
2014-07-27,61.0703037
2014-07-28,61.4377215
2014-07-29,60.9225561
2014-07-30,61.7600295
2014-07-31,40.0267852
2014-08-01,61.0859631
2014-08-02,61.5854226
2014-08-03,61.2649959
2014-08-04,61.6169515
2014-08-05,60.6415973
2014-08-06,61.5535719
2014-08-07,60.9315327
2014-08-08,60.9656457
2014-08-09,61.3204224
2014-08-10,61.0341267
2014-08-11,61.7286313
2014-08-12,60.6724467
2014-08-13,61.5377038
2014-08-14,60.8250699
2014-08-15,61.5635394
2014-08-16,61.3554187
2014-08-17,60.6122083
2014-08-18,61.3376353
2014-08-19,60.7958015
2014-08-20,61.658135
2014-08-21,60.8824368
2014-08-22,61.6026947
2014-08-23,61.0404176
2014-08-24,61.4061083
2014-08-25,60.8355233
2014-08-26,60.5236354
2014-08-27,61.3176262
2014-08-28,60.6365725
2014-08-29,61.3050813
2014-08-30,60.6406631
2014-08-31,60.9968515
2014-09-01,61.1009442
2014-09-02,60.5632905
2014-09-03,60.9382313
2014-09-04,60.2142818
2014-09-05,61.0585551
2014-09-06,60.2705897
2014-09-07,60.9235518
2014-09-08,60.3756277
2014-09-09,60.8750953
2014-09-10,60.8140646
2014-09-11,60.3593116
2014-09-12,61.8300562
2014-09-13,60.5176056
2014-09-14,61.3044362
2014-09-15,60.4511313
2014-09-16,60.7289047
2014-09-17,60.6072624
2014-09-18,59.9475601
2014-09-19,60.9821335
2014-09-20,60.1800116
2014-09-21,60.6263405
2014-09-22,59.68863
2014-09-23,60.7283858
2014-09-24,60.0804185
2014-09-25,60.1537144
2014-09-26,60.1274228
2014-09-27,59.5004466
2014-09-28,60.737025
2014-09-29,58.7740085
2014-09-30,60.1945407
2014-10-01,59.1563687
2014-10-02,59.7710858
2014-10-03,59.2367084
2014-10-04,58.8280106
2014-10-05,40.7829281
2014-10-06,59.2919001
2014-10-07,58.9640338
2014-10-08,58.3405033
2014-10-09,59.4890025
2014-10-10,58.4555871
2014-10-11,58.0572156
2014-10-12,57.8585788
2014-10-13,57.6282047
2014-10-14,58.2983208
2014-10-15,57.3001715
2014-10-16,57.8547956
2014-10-17,56.7912609
2014-10-18,56.2201768
2014-10-19,55.5524831
2014-10-20,55.5904336
2014-10-21,55.915471
2014-10-22,54.7515756
2014-10-23,55.4789552
2014-10-24,54.6352877
2014-10-25,55.6076657
2014-10-26,54.8664872
2014-10-27,55.4846251
2014-10-28,55.3156137
2014-10-29,55.4999968
2014-10-30,57.031312
2014-10-31,54.2453533
2014-11-01,55.0943887
2014-11-02,54.8690004
2014-11-03,55.2983819
2014-11-04,54.4520151
2014-11-05,53.8402207
2014-11-06,55.0543804
2014-11-07,54.3633482
2014-11-08,54.8161327
2014-11-09,53.4802252
2014-11-10,53.9423676
2014-11-11,52.8874309
2014-11-12,52.4444556
2014-11-13,51.7245558
2014-11-14,51.2389779
2014-11-15,53.897366
2014-11-16,51.3846481
2014-11-17,52.5490905
2014-11-18,51.3928918
2014-11-19,52.2991466
2014-11-20,51.9482952
2014-11-21,52.1709499
2014-11-22,52.5015615
2014-11-23,51.6376753
2014-11-24,52.9730081
2014-11-25,52.0409515
2014-11-26,52.9804325
2014-11-27,51.9538956
2014-11-28,52.0819606
2014-11-29,53.1149056
2014-11-30,52.4142294
2014-12-01,33.697056
2014-12-02,51.2357401
2014-12-03,53.011734
2014-12-04,52.052268
2014-12-05,53.062523
2014-12-06,52.5620616
2014-12-07,51.9258186
2014-12-08,52.5036534
2014-12-09,51.7249612
2014-12-10,53.288946
2014-12-11,51.8420123
2014-12-12,53.1387188
2014-12-13,52.6907367
2014-12-14,52.4329443
2014-12-15,51.9755414
2014-12-16,51.5410084
2014-12-17,54.5420737
2014-12-18,51.5713861
2014-12-19,53.0163185
2014-12-20,51.0904767
2014-12-21,52.8191264
2014-12-22,51.1530914
2014-12-23,51.8471735
2014-12-24,52.0326419
2014-12-25,52.9007047
2014-12-26,51.954237
2014-12-27,50.6104747
2014-12-28,51.9531507
2014-12-29,50.3655965
2014-12-30,51.3145936
2014-12-31,50.8975377
2015-01-01,51.2389589
2015-01-02,53.0069556
2015-01-03,51.4309226
2015-01-04,52.2668362
2015-01-05,50.7093789
2015-01-06,51.8300921
2015-01-07,50.2965966
2015-01-08,51.0743158
2015-01-09,51.287956
2015-01-10,50.0476936
2015-01-11,52.0679268
2015-01-12,50.8755798
2015-01-13,51.6929151
2015-01-14,50.3749803
2015-01-15,51.4396773
2015-01-16,50.7121503
2015-01-17,51.4205317
2015-01-18,53.6498275
2015-01-19,51.0754229
2015-01-20,51.8619571
2015-01-21,50.9102495
2015-01-22,52.2419801
2015-01-23,51.7579463
2015-01-24,51.7546909
2015-01-25,52.5369502
2015-01-26,51.1256211
2015-01-27,52.5394328
2015-01-28,51.0354759
2015-01-29,52.0940613
2015-01-30,50.7161104
2015-01-31,51.9395392
2015-02-01,51.4656432
2015-02-02,51.1103653
2015-02-03,52.8180118
2015-02-04,50.8630434
2015-02-05,52.5623596
2015-02-06,50.849716
2015-02-07,53.0195572
2015-02-08,51.1651973
2015-02-09,51.792249
2015-02-10,51.6091657
2015-02-11,50.3395621
2015-02-12,51.9106885
2015-02-13,50.7644867
2015-02-14,52.2357674
2015-02-15,51.079298
2015-02-16,51.5604961
2015-02-17,50.776616
2015-02-18,50.9956384
2015-02-19,52.2518903
2015-02-20,50.7989708
2015-02-21,52.0694169
2015-02-22,51.0969312
2015-02-23,52.0714233
2015-02-24,51.2813094
2015-02-25,51.5617968
2015-02-26,51.3164586
2015-02-27,51.3721623
2015-02-28,51.0186058
2015-03-01,50.3901842
2015-03-02,51.2104673
2015-03-03,50.4596144
2015-03-04,50.7698978
2015-03-05,50.9053892
2015-03-06,51.640147
2015-03-07,52.6365134
